3
4000 2
0 4000
0.05489245918280748 0.02744622959140374
1 0 0 0 1 0 0 0 1 
T T T 
0.7496746185141288 0.3949819672741762 0.821711400653759 0.05489245918280748
0.8580617810730941 0.9239444495104733 0.1873973125166641 0.05489245918280748
0.3867918725636671 0.7427294437621583 0.2994492420625072 0.05489245918280748
0.4749646164567481 0.5772761516963963 0.6439598460489481 0.05489245918280748
0.4276371076951589 0.5800049454472224 0.9123607516598946 0.05489245918280748
0.9794060423013112 0.6419098709384577 0.7507297008796499 0.05489245918280748
0.1224057978858871 0.5807540154639778 0.9433579844503671 0.05489245918280748
0.2599380218191659 0.07667210418373543 0.7541773002539353 0.05489245918280748
0.1035449326943465 0.3781804680306373 0.1609431587100389 0.05489245918280748
0.1041839461990042 0.002373603891517175 0.2366681918665869 0.05489245918280748
0.557227803543563 0.8728915331959304 0.639462049226981 0.05489245918280748
0.319783769908049 0.641284503887904 0.4765046131058384 0.05489245918280748
0.4826695758125092 0.9768045986871986 0.2753212290470614 0.05489245918280748
0.809313260693621 0.6108188089443878 0.7887004025301255 0.05489245918280748
0.3739398344003338 0.8278297793855136 0.2848031190901262 0.05489245918280748
0.3050442489405374 0.8235772830344869 0.8965955242076149 0.05489245918280748
0.04423596539125631 0.9294861526444723 0.5720833932725549 0.05489245918280748
0.08017840115223807 0.2453833912524226 0.6608032857110886 0.05489245918280748
0.7930561565209793 0.3939382918818042 0.1047146392449127 0.05489245918280748
0.9793033746291949 0.577727918275711 0.1282320527689447 0.05489245918280748
0.2272172388403162 0.9627194925101227 0.9189781699536821 0.05489245918280748
0.8044606679868256 0.2322429986208821 0.5119349796550967 0.05489245918280748
0.3529506790008793 0.8231467192263964 0.4429589525648358 0.05489245918280748
0.6662837632744015 0.5235757367831889 0.002302593900193068 0.05489245918280748
0.4630157107559325 0.8740488498216283 0.9526899157885039 0.05489245918280748
0.6825484293844279 0.2087266091870142 0.7689114539201642 0.05489245918280748
0.6197550449661228 0.3255258643103715 0.6743997356340681 0.05489245918280748
0.1524760194555679 0.4380244484005822 0.8552686504103068 0.05489245918280748
0.7653661962134903 0.3436450687601705 0.3006963505462013 0.05489245918280748
0.9052399167873769 0.2491033853850886 0.6209526662137735 0.05489245918280748
0.8802745385646945 0.5310479215909985 0.6803749343484877 0.05489245918280748
0.8056830971997818 0.5028340551050469 0.9312419916741502 0.05489245918280748
0.5187730476006219 0.7847720291424651 0.5734738975857882 0.05489245918280748
0.7795632173289311 0.4802657433800646 0.2911001260650724 0.05489245918280748
0.9406192153181839 0.9095165713732939 0.170123141935355 0.05489245918280748
0.8689675420503257 0.6438755207663143 0.3942814174157956 0.05489245918280748
0.6592725852065476 0.2608300127293613 0.7594223839126802 0.05489245918280748
0.3220076655565065 0.4601688477130435 0.2563526572065488 0.05489245918280748
0.08477029193104647 0.2279679993201509 0.5329552261452225 0.05489245918280748
0.4377856985103336 0.1842694562288931 0.9265157435842832 0.05489245918280748
0.1300183032444467 0.06863916891205019 0.4934523674804496 0.05489245918280748
0.8302247560689411 0.03184244262805885 0.9427198738553608 0.05489245918280748
0.7382005416804546 0.3225379323611934 0.7686163664429601 0.05489245918280748
0.2702066227814963 0.230028704587097 0.2770769461953999 0.05489245918280748
0.5199194301384229 0.1560390740638553 0.1857611413375171 0.05489245918280748
0.7373110427375344 0.1085181979015501 0.7422090852222396 0.05489245918280748
0.1599307899331442 0.8532356353713062 0.1269498113645182 0.05489245918280748
0.9084707579808224 0.04886051193939677 0.5579288434750218 0.05489245918280748
0.206019686646872 0.1873466160748078 0.7508126808474622 0.05489245918280748
0.7521028402030567 0.6332354394253408 0.9110583291799789 0.05489245918280748
0.5954346875419475 0.7655259049172003 0.116353077912205 0.05489245918280748
0.1548143506306142 0.5657432377502992 0.02179313252129398 0.05489245918280748
0.05238783264557672 0.2824582604718648 0.4152207868080092 0.05489245918280748
0.8477816747403603 0.6460755817789028 0.7038012092466507 0.05489245918280748
0.04787803788489952 0.1987418867948368 0.00317011918272816 0.05489245918280748
0.147194855213749 0.8805696386503628 0.08031729087775948 0.05489245918280748
0.9591996403039711 0.07877827134658516 0.8910168808960283 0.05489245918280748
0.07626583748949112 0.03441831943578499 0.9225262597021867 0.05489245918280748
0.6309085993932431 0.2029151540953247 0.1609440448050002 0.05489245918280748
0.3667914702292828 0.9151244840484701 0.7551572514152319 0.05489245918280748
0.4139526049839208 0.498013737076637 0.5741292186034321 0.05489245918280748
0.4522117099877797 0.6521253888630588 0.9967475364218683 0.05489245918280748
0.5848287494172384 0.732588573374077 0.2880483755726528 0.05489245918280748
0.9618092456711105 0.5529718225084854 0.8925266669358753 0.05489245918280748
0.7888605793718563 0.6848090054766632 0.9683211144622881 0.05489245918280748
0.7386566735899456 0.893842482425017 0.9494070759567107 0.05489245918280748
0.8972830331830542 0.883544501277755 0.9941187991320504 0.05489245918280748
0.8105813358650618 0.892487503247007 0.00540718415648924 0.05489245918280748
0.6881879921762762 0.4977334889211448 0.1237643506200522 0.05489245918280748
0.8499504338853985 0.8654436278995449 0.1020206841692004 0.05489245918280748
0.7501704892970874 0.3015299885678282 0.5324590090053172 0.05489245918280748
0.2675266971926861 0.6540095898744773 0.2911566007783875 0.05489245918280748
0.4242259993737587 0.2378159358702338 0.07269029084359323 0.05489245918280748
0.6136161668348359 0.1550213751623921 0.6464250174197049 0.05489245918280748
0.5459739997721713 0.9513768133305383 0.3450258783891482 0.05489245918280748
0.5455190224816736 0.7696735793132132 0.0842755035512026 0.05489245918280748
0.5173702147799749 0.5849925724739621 0.004153779308800919 0.05489245918280748
0.5216240976286304 0.3233158479222424 0.7561450706554825 0.05489245918280748
0.5301221933473939 0.9579583688538647 0.4008231052781979 0.05489245918280748
0.5957082158596381 0.7959421161709843 0.2426746871522264 0.05489245918280748
0.7008104863500768 0.5476667347896242 0.4287441839185457 0.05489245918280748
0.2716246269319813 0.7531832309655769 0.222357827819287 0.05489245918280748
0.6245595709910622 0.03493398230604957 0.3875852731855212 0.05489245918280748
0.7936401981132858 0.7773081266716766 0.6713051573421444 0.05489245918280748
0.3406290483587612 0.1911418588295541 0.6834665258896251 0.05489245918280748
0.7741598987286022 0.8279268653977636 0.3388700737798331 0.05489245918280748
0.7285047038858359 0.2408815908215162 0.9241181220532163 0.05489245918280748
0.6944302983889888 0.7392301460637815 0.2679009031847697 0.05489245918280748
0.5353307093334354 0.04469582732198014 0.3075164286279639 0.05489245918280748
0.8863487086624247 0.6850511910711226 0.09388163929663491 0.05489245918280748
0.03074694414189277 0.3851233184498166 0.587156245158502 0.05489245918280748
0.6022972695264012 0.6277591215920965 0.3154801665524983 0.05489245918280748
0.7605084542862794 0.2847201163040473 0.3582892745995447 0.05489245918280748
0.1493380580257907 0.02815178780579005 0.007459633713637153 0.05489245918280748
0.8159944389606458 0.3657449466193856 0.2157566145172677 0.05489245918280748
0.4426932844635014 0.9353262387858223 0.9421643919676053 0.05489245918280748
0.7666008889117339 0.6623297508059033 0.1754493409378163 0.05489245918280748
0.6318628740035676 0.2963427062325832 0.7923410296645813 0.05489245918280748
0.9430436007581607 0.8807904780417097 0.8672186791418495 0.05489245918280748
0.1568546247290662 0.7964826767097029 0.5334659812626211 0.05489245918280748
0.2706916245176492 0.8643926697897688 0.8728291239046521 0.05489245918280748
0.8736602714406984 0.5645233765335299 0.6039996418553853 0.05489245918280748
0.1214945419179526 0.2640112131879512 0.9058511895303946 0.05489245918280748
0.4780581745211749 0.4992400800970871 0.7784529511918671 0.05489245918280748
0.548412086097401 0.287437201734337 0.2328537930875865 0.05489245918280748
0.6493542885353585 0.8044198866167022 0.1437493276304798 0.05489245918280748
0.6085085798871525 0.5302637984486213 0.8549435291999659 0.05489245918280748
0.6531548904486585 0.1240501901555661 0.2291399621471219 0.05489245918280748
